code,mini_code,nom,module_reference,description,reference
"C.211",,"Formaliser une fonctionnalité","DMB-M106","Formaliser une fonctionnalité déjà identifiée en précisant le système, les acteurs, les cas d’utilisation et les scénarios attendus.","DMB-M201-C.211"
"C.212",,"Traduire le modèle relationnel en modèle objet","DMB-M109","Traduire un MLD en modèle objet en établissant les correspondances entre tables, attributs, identifiants, relations, classes et associations.","DMB-M201-C.212"
"C.213",,"Structurer l’application en composants","DMB-M109","Structurer une application en séparant le Frontend et le Backend et en définissant leur communication à travers une API.","DMB-M201-C.213"
"C.221",,"Développer une fonctionnalité en programmation orientée objet","DMB-M109","Réaliser une fonctionnalité complète en PHP orienté objet en créant, manipulant et faisant collaborer des objets.","DMB-M202-C.221"
"C.222",,"Répartir les responsabilités entre les classes","DMB-M109","Analyser les responsabilités d’une fonctionnalité et les répartir entre plusieurs classes cohérentes en appliquant le principe de responsabilité unique.","DMB-M202-C.222"
"C.223",,"Organiser l’application en couches","DMB-M109","Structurer une fonctionnalité selon une architecture en couches Présentation, Traitement et Data, isoler l’accès aux données et rendre sa source remplaçable.","DMB-M202-C.223"
"C.251",,"Organiser et suivre le travail d’un projet","DMB-M107","Décomposer une fonctionnalité en tâches réalisables, organiser leur ordre et leurs dépendances, puis suivre leur avancement et leur validation avec GitHub.","DMB-M205-C.251"
