"type","description","reference"
"card","Widget affichant une carte avec des données synthétiques","312be3c3-50a0-4eca-bd87-84a96814d10c"
"chart","Widget affichant un graphique","54fa0ca9-cfae-470b-8732-45bc3650397d"
"table","Widget affichant un tableau de données","858e8703-47fd-4e1e-a673-effc8bb747ed"
"statistic","Widget affichant une statistique rapide","6c564402-2798-4e16-9773-28f2595e26e6"
"progress","Widget affichant une barre de progression","5390f515-bec2-49d9-87a3-ee322bc7b160"
"liste","","93140d80-d4a9-4a2d-9956-9c7153198e51"
