"ordre","name","label","type_id","model_id","operation_id","color","icon","sys_color_id","reference","parameters"
"1","Tâches en cours","Nombre des tâche en cours","1","96","1","success","","3","5e5225ca-8a32-4316-949a-7aede93818cc","{""roles"": {""admin"": {""etatRealisationTache.workflowTache.code"": ""EN_COURS""}, ""apprenant"": {""realisationProjet.apprenant.user_id"": ""#user_id"", ""etatRealisationTache.workflowTache.code"": ""EN_COURS""}, ""formateur"": {""etatRealisationTache.workflowTache.code"": ""EN_COURS"", ""realisationProjet.affectationProjet.projet.formateur.user_id"": ""#user_id""}}, ""tableUI"": {""Id"": ""id"", ""titre"": ""tache.titre""}}"
"4","Apprenants qui n'ont pas des tâches en cours","Apprenants qui n'ont pas des tâches en cours","6","11","3","info","fa-user","6","ec901a3a-a9fc-4455-a0d3-b9c5dca8fbdb","{""limit"": 5, ""dataSource"": ""getApprenantQuiNonPasTacheEnCours""}"
"8","Tâches","Tâches en cours / Groupe","3","96","3","","","3","9cc10ed3-b07a-4e9d-9cc6-20afcfc85995","{""limit"": 5, ""roles"": {""admin"": {""etatRealisationTache.workflowTache.code"": ""EN_COURS""}, ""apprenant"": {""realisationProjet.apprenant.user_id"": ""#user_id"", ""etatRealisationTache.workflowTache.code"": ""EN_COURS""}, ""formateur"": {""etatRealisationTache.workflowTache.code"": ""EN_COURS"", ""realisationProjet.affectationProjet.projet.formateur.user_id"": ""#user_id""}}, ""tableUI"": {""titre"": ""tache.titre"", ""projet"": ""tache.projet.titre"", ""apprenant"": ""realisationProjet.apprenant""}, ""order_by"": {""column"": ""updated_at"", ""direction"": ""desc""}}"
"2","Tâches en validation","Nombre des tâches en validation","1","96","1","","","5","880049bd-3b00-4ebb-8847-168d3c70e2b5","{""roles"": {""admin"": {""etatRealisationTache.workflowTache.code"": ""EN_VALIDATION""}, ""apprenant"": {""realisationProjet.apprenant.user_id"": ""#user_id"", ""etatRealisationTache.workflowTache.code"": ""EN_VALIDATION""}, ""formateur"": {""etatRealisationTache.workflowTache.code"": ""EN_VALIDATION"", ""realisationProjet.affectationProjet.projet.formateur.user_id"": ""#user_id""}}, ""tableUI"": {""Id"": ""id"", ""titre"": ""tache.titre""}}"
"3","Tâches à faire","Nombre des tâches à faire","1","96","1","","","4","78ec4ca6-543d-4bd9-b3da-d8f790c00a7b","{""roles"": {""admin"": {""etatRealisationTache.workflowTache.code"": ""A_FAIRE""}, ""apprenant"": {""realisationProjet.apprenant.user_id"": ""#user_id"", ""etatRealisationTache.workflowTache.code"": ""A_FAIRE""}, ""formateur"": {""etatRealisationTache.workflowTache.code"": ""A_FAIRE"", ""realisationProjet.affectationProjet.projet.formateur.user_id"": ""#user_id""}}, ""tableUI"": {""Id"": ""id"", ""titre"": ""tache.titre""}}"
"9","Tâches","Tâches en cours / Solicode","3","96","3","","","3","ac1c9574-e48d-44a3-a463-89ec65cfb36c","{""limit"": 5, ""roles"": {""admin"": {""etatRealisationTache.workflowTache.code"": ""EN_COURS""}, ""apprenant"": {""realisationProjet.apprenant.user_id"": ""#user_id"", ""etatRealisationTache.workflowTache.code"": ""EN_COURS""}, ""formateur"": {""etatRealisationTache.workflowTache.code"": ""EN_COURS"", ""realisationProjet.affectationProjet.projet.formateur.user_id"": ""#user_id""}}, ""tableUI"": {""titre"": ""tache.titre"", ""groupe"": ""realisationProjet.affectationProjet.groupe"", ""projet"": ""tache.projet.titre"", ""apprenant"": ""realisationProjet.apprenant""}, ""order_by"": {""column"": ""updated_at"", ""direction"": ""desc""}}"
"10","Tâches","Tâches en cours / Apprenant","3","96","3","","","3","b5c2f752-f938-420b-b4d1-7b8a567cf5c9","{""limit"": 5, ""roles"": {""admin"": {""etatRealisationTache.workflowTache.code"": ""EN_COURS""}, ""apprenant"": {""realisationProjet.apprenant.user_id"": ""#user_id"", ""etatRealisationTache.workflowTache.code"": ""EN_COURS""}, ""formateur"": {""etatRealisationTache.workflowTache.code"": ""EN_COURS"", ""realisationProjet.affectationProjet.projet.formateur.user_id"": ""#user_id""}}, ""tableUI"": {""titre"": ""tache.titre"", ""projet"": ""tache.projet.titre""}, ""order_by"": {""column"": ""updated_at"", ""direction"": ""desc""}}"
