"ordre","code","reference","nom","description","sys_color_reference"
"1","TODO","TODO","À faire","Le module est planifié mais n’a pas encore été commencé.","secondary"
"2","IN_PROGRESS_INTRO","IN_PROGRESS_INTRO","En cours – Introduction","Le module est en phase d’introduction ou de démarrage des contenus.","info"
"3","IN_PROGRESS_INTERMEDIAIRE","IN_PROGRESS_INTERMEDIAIRE","En cours – Intermédiaire","Le module est en phase intermédiaire, avec plusieurs compétences en cours.","purple"
"4","IN_PROGRESS_AVANCE","IN_PROGRESS_AVANCE","En cours – Avancé","Le module est en phase avancée, proche de la finalisation.","primary"
"5","DONE","DONE","Terminé","Le module est terminé et validé automatiquement par le système.","success"
"6","PAUSED","PAUSED","En pause","Le module est temporairement mis en attente.","warning"
