"ordre","nom","code","sys_color_reference","is_editable_only_by_formateur","description","reference"
"1","À faire","TODO","secondary","0","Le chapitre est planifié mais pas encore commencé par l'apprenant.","TODO"
"2","En cours","IN_PROGRESS","info","0","Le chapitre est en cours d'exécution par l'apprenant.","IN_PROGRESS"
"3","En pause","PAUSED","danger","0","Le chapitre est temporairement mis en pause par l'apprenant ou le formateur.","PAUSED"
"4","Prêt pour Live Coding","READY_FOR_LIVE_CODING","info","0","Le chapitre est terminé par l'apprenant et prêt à être testé en live coding.","READY_FOR_LIVE_CODING"
"5","En Live Coding","IN_LIVE_CODING","purple","1","Le chapitre est en phase de validation via une séance de live coding.","IN_LIVE_CODING"
"6","À valider","TO_APPROVE","warning","0","Le chapitre est en attente de validation finale par le formateur (après live coding).","TO_APPROVE"
"7","Terminé","DONE","success","1","Le chapitre a été validé définitivement par le formateur.","DONE"
"8","Bloqué","BLOCKED","danger","1","Le chapitre est bloqué (problèmes techniques ou pédagogiques).","BLOCKED"
