"ordre","code","titre","description","reference","sys_color_reference"
"1","A_FAIRE","À faire","La tâche est prévue mais pas encore commencée","A_FAIRE","secondary"
"2","EN_COURS","En cours","La tâche est en cours de réalisation","EN_COURS","info"
"4","EN_VALIDATION","En validation","La tâche est terminée mais en attente de validation","EN_VALIDATION","warning"
"5","TERMINEE","Terminée","La tâche a été validée et complétée","TERMINEE","success"
"6","EN_PAUSE","En pause","La tâche est temporairement suspendue","EN_PAUSE","purple"
"3","REVISION_NECESSAIRE","Révision nécessaire","","REVISION_NECESSAIRE","info"
